CMT_Paper_ID,Paper_Title,Authors_Name (comma separated),Link_to_Video,Camera Ready (Google Drive),Poster Links (Google Drive) [.png/.jpg]
34,Dynamic Mirror Descent based Model Predictive Control for Accelerating Robot Learning,"Utkarsh A. Mishra*, Soumya R. Samineni*, Prakhar Goel, Chandravaran Kunjeti, Himanshu Lodha, Aman Singh, Aditya Sagi, Shalabh Bhatnagar, Shishir Kolathaya",https://drive.google.com/file/d/1-hw1bclZHfED8wheRjnpKbJhRpSd1MsU/view?usp=sharing,https://drive.google.com/file/d/1rS_C3s6fSkehQZWi5SQByq1bRuKvH-j4/view?usp=sharing,https://drive.google.com/file/d/1QMnWS5Kq-jQv7yrv8mCd6Ai-5xe1Pf-s/view?usp=sharing
35,MBAIL: Multi-Batch Best Action Imitation Learning utilizing Sample Transfer and Policy Distillation,"Di Wu, Tianyu Li, David Meger, Michael Jenkin, Xue Liu, Gregory Dudek",,https://drive.google.com/file/d/1tjrfvY9Ehmmas7Wg7WKn5F0CA0bc_aIe/view?usp=sharing,
36,"Showing Your Offline Reinforcement Learning Work:
Online Evaluation Budget Matters","Vladislav Kurenkov, Sergey Kolesnikov",https://drive.google.com/file/d/1W12JEwiYEgUNUQQ4Uj1lwOM86_IKsdah/view?usp=sharing,https://drive.google.com/file/d/1Np4QR13o92J2VRJzsi6v-gfwA2La87vA/view?usp=sharing,
37,Offline Reinforcement Learning with Munchausen Regularization,"Hsin-Yu Liu, Balaji Bharathan, Rajesh Gupta, Dezhi Hong",https://drive.google.com/file/d/1aHsqNk3YiDJqsY1pSgsQBvJgWy3UefvN/view?usp=sharing,https://drive.google.com/file/d/1qkEn_iQu60Z833Kq8Uwc2ha6ZtowbGEm/view?usp=sharing,https://drive.google.com/drive/folders/1f3s968srHW_aQ0gG6G9mHGV6UheEphU2?usp=sharing
38,"Importance of Empirical Sample Complexity Analysis
for Offline Reinforcement Learning","Samin Yeasar Arnob, Riashat Islam, Doina Precup",,https://drive.google.com/file/d/1D05pnuLpsRwCqH9384sUMG8K3H3j3hJz/view?usp=sharing,
39,Discrete Uncertainty Quantification Approach for Offline RL,"Javier Corrochano, Javier García, Rubén Majadas, Cristina Ibanez-Llano, Sergio Pérez, Fernando Fernández",https://youtu.be/u-5OmCH2pp8,https://drive.google.com/file/d/1G5nAFVQlXAlVjBwo85hCACt6Or2hnO4D/view?usp=sharing,https://drive.google.com/file/d/1qPve8aRfDDN9ZPkUzji9hKmcGAPQTXnT/view?usp=sharing
40,Pretraining For Language-Conditioned Imitation with Transformers,"Aaron (Louie) Putterman, Kevin Lu, Igor Mordatch, Pieter Abbeel",,https://drive.google.com/file/d/1D79NZ7lh_te9BCHRldD8eVJYqAFuFabH/view?usp=sharing,
41,"Stateful Offline Contextual Policy Evaluation and Learning
","Nathan Kallus, Angela Zhou",,https://drive.google.com/file/d/1LIM0ITSVIo_8Hp_BhquKDx02lEDCPc3O/view?usp=sharing,https://drive.google.com/file/d/13hs5B_HIBftyYX0qCqPAh_iPczTINQyK/view?usp=sharing
42,Offline Reinforcement Learning: Fundamental Barriers for Value Function Approximation,"Dylan Foster, Akshay Krishnamurthy, David Simchi-Levi, Yunzong Xu",,https://drive.google.com/file/d/1C6M1peNbobhd2vTRYYbGQATsUvkEMEDm/view?usp=sharing,
43,Learning Value Functions from Undirected State-only Experience,"Matthew Chang*, Arjun Gupta*, Saurabh Gupta",https://slideslive.com/38971128/learning-value-functions-from-undirected-stateonly-experience,https://drive.google.com/file/d/1ejlJYYeZ4o9SGFjKco8SFZ7uANw2-ldV/view?usp=sharing,https://drive.google.com/file/d/1SoruropIEE5IZge9u3KdJeyjcpJ5a2-N/view?usp=sharing
44,Discriminator-Weighted Offline Imitation Learning from Suboptimal Demonstrations,"Haoran Xu, Xianyuan Zhan, Honglei Yin, Huiling Qin",https://recorder-v3.slideslive.com/?share=53264&s=79e721fe-5da9-4006-89a8-70b2ef8a4586,,
45,Offline Policy Selection under Uncertainty,"Sherry Yang, Bo Dai, Ofir Nachum, George Tucker, Dale Schuurmans",,,https://drive.google.com/file/d/1BDAr5ShV85Y7e_xgZ401FGBV9htMe3m_/view?usp=sharing
46,Model-Based Offline Planning with Trajectory Pruning,"
Xianyuan Zhan, Xiangyu Zhu, Haoran Xu",https://drive.google.com/file/d/1n5l9pBNGj3780cUZ4zbjE_8OgroCdPoU/view?usp=sharing,https://drive.google.com/file/d/1TCs53FEmXl_BNzg9SByWkFgaFjsugA6J/view?usp=sharing,https://docs.google.com/presentation/d/1QarbyqGObkpeWgPbeW_bPcwPIWTtlwBL/edit?usp=sharing&ouid=100893415177844711737&rtpof=true&sd=true
47,TRAIL: Near-Optimal Imitation Learning with Suboptimal Data,"Sherry Yang, Sergey Levine, Ofir Nachum",,https://drive.google.com/file/d/1YUKrdpLM4eZTSMcSZ6rn-cAb6BOHGbWT/view?usp=sharing,https://drive.google.com/file/d/1wzuQdNldtyadooasE8ZZfhZ4xCLzrt9k/view?usp=sharing
51,"Why so pessimistic? Estimating uncertainties for offline rl through ensembles, and why their independence matters","Seyed Kamyar Seyed Ghasemipour, Shixiang (Shane) Gu, Ofir Nachum",https://drive.google.com/file/d/1gbPtFhVyJ4FrW0gV7aFxdurcwPhKOWUH/view?usp=sharing,https://drive.google.com/file/d/1wrOWDPkQuLp89bv5qWZHImwWCBTsfV7c/view?usp=sharing,
53,Example-Based Offline Reinforcement Learning without Rewards,"Kyle Hatch*, Tianhe Yu*, Rafael Rafailov, Chelsea Finn",,https://drive.google.com/file/d/1K4hhEeljNGHjqdTz2NWsuLBPYeQwkqkV/view?usp=sharing,
